"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Bordseite","Deck"
"0","3","male",22,1,0,7.25,"S","Mr.",NA,"NA"
"1","1","female",38,1,0,71.2833,"C","Mrs.","Steuerbord","C"
"1","3","female",26,0,0,7.925,"S","Miss.",NA,"NA"
"1","1","female",35,1,0,53.1,"S","Mrs.","Steuerbord","C"
"0","3","male",35,0,0,8.05,"S","Mr.",NA,"NA"
"0","3","male",30,0,0,8.4583,"Q","Mr.",NA,"NA"
"0","1","male",54,0,0,51.8625,"S","Mr.","Backbord","E"
"0","3","male",2,3,1,21.075,"S","Master.",NA,"NA"
"1","3","female",27,0,2,11.1333,"S","Mrs.",NA,"NA"
"1","2","female",14,1,0,30.0708,"C","Mrs.",NA,"NA"
"1","3","female",4,1,1,16.7,"S","Miss.","Backbord","G"
"1","1","female",58,0,0,26.55,"S","Miss.","Steuerbord","C"
"0","3","male",20,0,0,8.05,"S","Mr.",NA,"NA"
"0","3","male",39,1,5,31.275,"S","Mr.",NA,"NA"
"0","3","female",14,0,0,7.8542,"S","Miss.",NA,"NA"
"1","2","female",55,0,0,16,"S","Mrs.",NA,"NA"
"0","3","male",2,4,1,29.125,"Q","Master.",NA,"NA"
"1","2","male",30,0,0,13,"S","Mr.",NA,"NA"
"0","3","female",31,1,0,18,"S","Mrs.",NA,"NA"
"1","3","female",35,0,0,7.225,"C","Mrs.",NA,"NA"
"0","2","male",35,0,0,26,"S","Mr.",NA,"NA"
"1","2","male",34,0,0,13,"S","Mr.","Backbord","D"
"1","3","female",15,0,0,8.0292,"Q","Miss.",NA,"NA"
"1","1","male",28,0,0,35.5,"S","Mr.","Backbord","A"
"0","3","female",8,3,1,21.075,"S","Miss.",NA,"NA"
"1","3","female",38,1,5,31.3875,"S","Mrs.",NA,"NA"
"0","3","male",30,0,0,7.225,"C","Mr.",NA,"NA"
"0","1","male",19,3,2,263,"S","Mr.","Steuerbord","C C C"
"1","3","female",21,0,0,7.8792,"Q","Miss.",NA,"NA"
"0","3","male",30,0,0,7.8958,"S","Mr.",NA,"NA"
"0","1","male",40,0,0,27.7208,"C","Don.",NA,"NA"
"1","1","female",35,1,0,146.5208,"C","Mrs.","Backbord","B"
"1","3","female",21,0,0,7.75,"Q","Miss.",NA,"NA"
"0","2","male",66,0,0,10.5,"S","Mr.",NA,"NA"
"0","1","male",28,1,0,82.1708,"C","Mr.",NA,"NA"
"0","1","male",42,1,0,52,"S","Mr.",NA,"NA"
"1","3","male",30,0,0,7.2292,"C","Mr.",NA,"NA"
"0","3","male",21,0,0,8.05,"S","Mr.",NA,"NA"
"0","3","female",18,2,0,18,"S","Miss.",NA,"NA"
"1","3","female",14,1,0,11.2417,"C","Miss.",NA,"NA"
"0","3","female",40,1,0,9.475,"S","Mrs.",NA,"NA"
"0","2","female",27,1,0,21,"S","Mrs.",NA,"NA"
"0","3","male",30,0,0,7.8958,"C","Mr.",NA,"NA"
"1","2","female",3,1,2,41.5792,"C","Miss.",NA,"NA"
"1","3","female",19,0,0,7.8792,"Q","Miss.",NA,"NA"
"0","3","male",30,0,0,8.05,"S","Mr.",NA,"NA"
"0","3","male",30,1,0,15.5,"Q","Mr.",NA,"NA"
"1","3","female",21,0,0,7.75,"Q","Miss.",NA,"NA"
"0","3","male",30,2,0,21.6792,"C","Mr.",NA,"NA"
"0","3","female",18,1,0,17.8,"S","Mrs.",NA,"NA"
"0","3","male",7,4,1,39.6875,"S","Master.",NA,"NA"
"0","3","male",21,0,0,7.8,"S","Mr.",NA,"NA"
"1","1","female",49,1,0,76.7292,"C","Mrs.","Steuerbord","D"
"1","2","female",29,1,0,26,"S","Mrs.",NA,"NA"
"0","1","male",65,0,1,61.9792,"C","Mr.","Backbord","B"
"1","1","male",30,0,0,35.5,"S","Mr.","Backbord","C"
"1","2","female",21,0,0,10.5,"S","Miss.",NA,"NA"
"0","3","male",28.5,0,0,7.2292,"C","Mr.",NA,"NA"
"1","2","female",5,1,2,27.75,"S","Miss.",NA,"NA"
"0","3","male",11,5,2,46.9,"S","Master.",NA,"NA"
"0","3","male",22,0,0,7.2292,"C","Mr.",NA,"NA"
"1","1","female",38,0,0,80,"","Miss.","Backbord","B"
"0","1","male",45,1,0,83.475,"S","Mr.","Steuerbord","C"
"0","3","male",4,3,2,27.9,"S","Master.",NA,"NA"
"0","1","male",30,0,0,27.7208,"C","Mr.",NA,"NA"
"1","3","male",3.5,1,1,15.2458,"C","Master.",NA,"NA"
"1","2","female",29,0,0,10.5,"S","Mrs.","Steuerbord","F"
"0","3","male",19,0,0,8.1583,"S","Mr.",NA,"NA"
"1","3","female",17,4,2,7.925,"S","Miss.",NA,"NA"
"0","3","male",26,2,0,8.6625,"S","Mr.",NA,"NA"
"0","2","male",32,0,0,10.5,"S","Mr.",NA,"NA"
"0","3","female",16,5,2,46.9,"S","Miss.",NA,"NA"
"0","2","male",21,0,0,73.5,"S","Mr.",NA,"NA"
"0","3","male",26,1,0,14.4542,"C","Mr.",NA,"NA"
"1","3","male",32,0,0,56.4958,"S","Mr.",NA,"NA"
"0","3","male",25,0,0,7.65,"S","Mr.","Steuerbord","F G"
"0","3","male",30,0,0,7.8958,"S","Mr.",NA,"NA"
"0","3","male",30,0,0,8.05,"S","Mr.",NA,"NA"
"1","2","male",0.83,0,2,29,"S","Master.",NA,"NA"
"1","3","female",30,0,0,12.475,"S","Miss.",NA,"NA"
"0","3","male",22,0,0,9,"S","Mr.",NA,"NA"
"1","3","male",29,0,0,9.5,"S","Mr.",NA,"NA"
"1","3","female",21,0,0,7.7875,"Q","Miss.",NA,"NA"
"0","1","male",28,0,0,47.1,"S","Mr.",NA,"NA"
"1","2","female",17,0,0,10.5,"S","Miss.",NA,"NA"
"1","3","female",33,3,0,15.85,"S","Mrs.",NA,"NA"
"0","3","male",16,1,3,34.375,"S","Mr.",NA,"NA"
"0","3","male",30,0,0,8.05,"S","Mr.",NA,"NA"
"1","1","female",23,3,2,263,"S","Miss.","Steuerbord","C C C"
"0","3","male",24,0,0,8.05,"S","Mr.",NA,"NA"
"0","3","male",29,0,0,8.05,"S","Mr.",NA,"NA"
"0","3","male",20,0,0,7.8542,"S","Mr.",NA,"NA"
"0","1","male",46,1,0,61.175,"S","Mr.","Steuerbord","E"
"0","3","male",26,1,2,20.575,"S","Mr.",NA,"NA"
"0","3","male",59,0,0,7.25,"S","Mr.",NA,"NA"
"0","3","male",30,0,0,8.05,"S","Mr.",NA,"NA"
"0","1","male",71,0,0,34.6542,"C","Mr.","Steuerbord","A"
"1","1","male",23,0,1,63.3583,"C","Mr.","Backbord","D D"
"1","2","female",34,0,1,23,"S","Mrs.",NA,"NA"
"0","2","male",34,1,0,26,"S","Mr.",NA,"NA"
"0","3","female",28,0,0,7.8958,"S","Miss.",NA,"NA"
"0","3","male",30,0,0,7.8958,"S","Mr.",NA,"NA"
"0","1","male",21,0,1,77.2875,"S","Mr.","Backbord","D"
"0","3","male",33,0,0,8.6542,"S","Mr.",NA,"NA"
"0","3","male",37,2,0,7.925,"S","Mr.",NA,"NA"
"0","3","male",28,0,0,7.8958,"S","Mr.",NA,"NA"
"1","3","female",21,0,0,7.65,"S","Miss.",NA,"NA"
"1","3","male",30,0,0,7.775,"S","Mr.",NA,"NA"
"0","3","male",38,0,0,7.8958,"S","Mr.",NA,"NA"
"1","3","female",21,1,0,24.15,"Q","Miss.",NA,"NA"
"0","1","male",47,0,0,52,"S","Mr.","Backbord","C"
"0","3","female",14.5,1,0,14.4542,"C","Miss.",NA,"NA"
"0","3","male",22,0,0,8.05,"S","Mr.",NA,"NA"
"0","3","female",20,1,0,9.825,"S","Miss.",NA,"NA"
"0","3","female",17,0,0,14.4583,"C","Miss.",NA,"NA"
"0","3","male",21,0,0,7.925,"S","Mr.",NA,"NA"
"0","3","male",70.5,0,0,7.75,"Q","Mr.",NA,"NA"
"0","2","male",29,1,0,21,"S","Mr.",NA,"NA"
"0","1","male",24,0,1,247.5208,"C","Mr.","Backbord","B B"
"0","3","female",2,4,2,31.275,"S","Miss.",NA,"NA"
"0","2","male",21,2,0,73.5,"S","Mr.",NA,"NA"
"0","3","male",30,0,0,8.05,"S","Mr.",NA,"NA"
